,AQO(KNN),Actual
23a.sql,9,206
23a.sql,9,206
23a.sql,1884971,1507977
23b.sql,2,3
23b.sql,1,1
23b.sql,7,5
23b.sql,1,5
23b.sql,1,5
23b.sql,1,3
23b.sql,1087137,869710
23c.sql,2,3
23c.sql,1,1
23c.sql,262,209
23c.sql,262,209
23c.sql,11,209
23c.sql,11,209
23c.sql,1884971,1507977
24a.sql,2,3
24a.sql,1,1
24a.sql,115,92
24a.sql,115,92
24a.sql,1,2173
24a.sql,375560,300448
24b.sql,2,3
24b.sql,1,1
24b.sql,19,15
24b.sql,1,15
24b.sql,375560,300448
25a.sql,2,3
25a.sql,1,1
25a.sql,1836,1469
25a.sql,2047,1638
25a.sql,12834,10267
25b.sql,2,3
25b.sql,1,1
25b.sql,2,2
25b.sql,2,2
25b.sql,1,2
25b.sql,12834,10267
25c.sql,2,3
25c.sql,1,1
25c.sql,10897,8718
25c.sql,12090,9672
25c.sql,88,29286
25c.sql,575015,460012
26a.sql,2,3
26a.sql,1,1
26a.sql,720,576
26a.sql,1,810
26a.sql,80350,64280
26b.sql,2,3
26b.sql,1,1
26b.sql,39,31
26b.sql,1,75
26b.sql,1,75
26b.sql,1,130
26b.sql,1,145
26b.sql,6,5809
26b.sql,6,5809
26b.sql,15101810,12081448
26c.sql,2,3
26c.sql,1,1
26c.sql,2250,1800
26c.sql,1,5532
26c.sql,575015,460012
2a.sql,2,3
2a.sql,1,1
2a.sql,3264,2611
2a.sql,3264,2611
2a.sql,61722,49377
2a.sql,1087137,869710
2b.sql,2,3
2b.sql,1,1
2b.sql,2180,1743
2b.sql,2180,1743
2b.sql,17433,13947
2b.sql,1884971,1507977
2c.sql,2,3
2c.sql,1,1
2c.sql,2600,0
2c.sql,2600,0
2c.sql,17433,13947
2c.sql,1884971,1507977
2d.sql,2,3
2d.sql,1,1
2d.sql,28367,22772
2d.sql,61897,49517
2d.sql,1087137,869710
3a.sql,2,3
3a.sql,1,1
3a.sql,86,69
3a.sql,736,589
3a.sql,64124,51299
3b.sql,2,3
3b.sql,1,1
3b.sql,2,2
3b.sql,9,7
3b.sql,953,762
3c.sql,2,3
3c.sql,1,1
3c.sql,3021,2417
3c.sql,294448,235558
4a.sql,2,3
4a.sql,1,1
4a.sql,308,247
4a.sql,2425,1940
4a.sql,147079,117663
4a.sql,215701,172561
4b.sql,2,3
4b.sql,1,1
4b.sql,2,2
4b.sql,9,7
4b.sql,5396,4317
4b.sql,1884971,1507977
4c.sql,2,3
4c.sql,1,1
4c.sql,1939,1567
4c.sql,3355,2697
4c.sql,186362,149656
4c.sql,335295,268788
5a.sql,2,0
5a.sql,1,0
5a.sql,1,0
5a.sql,2,0
5a.sql,64234,0
5b.sql,1,0
5b.sql,1,0
5b.sql,1,0
5b.sql,1,0
5b.sql,245810,0
5c.sql,2,3
5c.sql,1,1
5c.sql,279,223
5c.sql,279,223
5c.sql,288,230
5c.sql,294448,235558
6a.sql,2,3
6a.sql,1,1
6a.sql,2,2
6a.sql,510,408
6a.sql,15101810,12081448
6b.sql,2,3
6b.sql,1,1
6b.sql,5,4
6b.sql,160,128
6b.sql,15101810,12081448
6c.sql,2,2
6c.sql,1,1
6c.sql,14,11
6c.sql,15101810,12081448
6d.sql,2,3
6d.sql,1,1
6d.sql,37,29
6d.sql,2168,1734
6d.sql,1884971,1507977
6e.sql,2,3
6e.sql,1,1
6e.sql,2,2
6e.sql,510,408
6e.sql,15101810,12081448
6f.sql,2,3
6f.sql,1,1
6f.sql,327282,261826
6f.sql,327282,261826
6f.sql,15101810,12081448
8a.sql,2,3
8a.sql,1,1
8a.sql,26,21
8a.sql,375560,300448
8b.sql,2,3
8b.sql,1,1
8b.sql,2,2
8b.sql,2,2
8b.sql,10,8
8b.sql,375560,300448
8c.sql,2,3
8c.sql,1,1
8c.sql,1036505,829204
8c.sql,1036505,829204
8c.sql,28396,829204
8c.sql,821108,656886
8c.sql,1137060,909648
8c.sql,15101810,12081448
8d.sql,2,3
8d.sql,1,1
8d.sql,134585,107668
8d.sql,28396,107668
8d.sql,28396,107668
8d.sql,480749,384599
8d.sql,1087137,869710
9a.sql,2,3
9a.sql,1,1
9a.sql,50,40
9a.sql,375560,300448
9b.sql,2,3
9b.sql,1,1
9b.sql,17,13
9b.sql,8,13
9b.sql,82716,66173
9c.sql,2,3
9c.sql,1,1
9c.sql,3393,2715
9c.sql,322,161066
9c.sql,322,161066
9c.sql,680,168417
9c.sql,78981,63185
9c.sql,480749,384599
9c.sql,1087137,869710
9d.sql,2,3
9d.sql,1,1
9d.sql,201284,161027
9d.sql,379144,303315
9d.sql,445,320241
9d.sql,445,320241
9d.sql,1882,320391
9d.sql,197510,158008
9d.sql,1087137,869710
